optimizer,learning_rate,final_train_accuracy,best_validation_accuracy,best_validation_loss
Adam,0.001,0.9941176176071167,0.984666645526886,0.05862319841980934
RMSprop,0.001,0.9952940940856934,0.9826666712760925,0.06046462059020996
RMSprop,0.0003,0.9850588440895081,0.981333315372467,0.0728696882724762
Adam,0.0003,0.9774117469787598,0.9760000109672546,0.08405257761478424
SGD,0.01,0.9739999771118164,0.9760000109672546,0.08772539347410202
SGD,0.001,0.9148235321044922,0.9433333277702332,0.24351449310779572
