x1,x2,max_probability,probability_margin_top2,predicted_class
-1.0839679358717422,-11.2,0.9980639257425838,0.0984109328774404,omega4
-1.0432865731462915,-11.2,0.9979165311844023,0.09419921751739091,omega4
-1.0026052104208407,-11.2,0.9977579405927415,0.09012402106260753,omega4
-0.96192384769539,-11.2,0.997587307503822,0.08618048407047918,omega4
-0.9212424849699392,-11.2,0.9974037220868978,0.08236368175531827,omega4
-0.8805611222444885,-11.2,0.9972062064999593,0.07866863029021787,omega4
-0.8398797595190377,-11.2,0.9969937099208153,0.07509029186047711,omega4
-0.799198396793587,-11.2,0.9967651032333874,0.07162357848007839,omega4
-0.7585170340681362,-11.2,0.9965191733482326,0.0682633545849145,omega4
-0.7178356713426854,-11.2,0.9962546171355049,0.06500443841803683,omega4
-0.6771543086172329,-11.2,0.995970034947849,0.061841602223223324,omega4
-0.6364729458917822,-11.2,0.9956639237100666,0.05876957126371485,omega4
-0.5957915831663314,-11.2,0.9953346695518678,0.05578302168314164,omega4
-0.5551102204408807,-11.2,0.9949805399596153,0.0528765772255364,omega4
-0.5144288577154299,-11.2,0.9945996754227598,0.0500448048310036,omega4
-0.47374749498997915,-11.2,0.994190080550658,0.04728220912318026,omega4
-0.4330661322645284,-11.2,0.9937496146357393,0.04458322580417495,omega4
-0.39238476953907764,-11.2,0.9932759816395739,0.0419422139723159,omega4
-0.3517034068136269,-11.2,0.9927667195793832,0.03935344737787816,omega4
-0.31102204408817613,-11.2,0.9922191892939792,0.0368111046321109,omega4
-0.2703406813627254,-11.2,0.9916305625701153,0.034309258385457175,omega4
-0.22965931863727462,-11.2,0.9909978096128893,0.031841863492004796,omega4
-0.1889779559118221,-11.2,0.990317685847231,0.029402744179017892,omega4
-0.14829659318637134,-11.2,0.9895867180418141,0.02698558024308617,omega4
-0.10761523046092059,-11.2,0.988801189752037,0.024583892298089327,omega4
-0.06693386773546983,-11.2,0.9879571260852228,0.022191026105034206,omega4
-0.026252505010019078,-11.2,0.9870502777990403,0.019800136020039938,omega4
0.014428857715431676,-11.2,0.9860761047535509,0.01740416760453456,omega4
0.05511022044088243,-11.2,0.9850297587484539,0.014995839451320658,omega4
0.09579158316633318,-11.2,0.9839060657902474,0.012567624291779378,omega4
0.13647294589178394,-11.2,0.9826995078494194,0.01011172946339578,omega4
0.1771543086172347,-11.2,0.9814042041856628,0.0076200768332391755,omega4
0.21783567134268544,-11.2,0.9800138923397841,0.005084282292347142,omega4
0.258517034068138,-11.2,0.9785219089146994,0.0024956349583733495,omega4
0.29919839679358873,-11.2,0.9770760940452865,0.00015492375028891558,omega2
0.3398797595190395,-11.2,0.9780809744614187,0.002876820976130179,omega2
0.38056112224449024,-11.2,0.979042750275788,0.00567987299358641,omega2
0.421242484969941,-11.2,0.9799631892591648,0.008574305225443002,omega2
0.46192384769539174,-11.2,0.9808439936810174,0.011570771398263457,omega2
0.5026052104208425,-11.2,0.9816868021232509,0.014680371483728138,omega2
0.5432865731462933,-11.2,0.9824931913010331,0.017914668021320468,omega2
0.583967935871744,-11.2,0.9832646778838456,0.021285700361766247,omega2
0.6246492985971948,-11.2,0.9840027203106424,0.024805996310273914,omega2
0.6653306613226455,-11.2,0.984708720593673,0.028488580584271617,omega2
0.7060120240480963,-11.2,0.9853840261061689,0.032346979432717804,omega2
0.7466933867735488,-11.2,0.9860299313496647,0.03639522069408063,omega2
0.7873747494989995,-11.2,0.9866476796972714,0.04064782849904802,omega2
0.8280561122244503,-11.2,0.9872384651097038,0.0451198117536491,omega2
0.8687374749499011,-11.2,0.9878034338213145,0.049826645470935405,omega2
0.9094188376753518,-11.2,0.9883436859938033,0.05478424395740433,omega2
0.9501002004008026,-11.2,0.9888602773356393,0.060008924807252284,omega2
0.9907815631262533,-11.2,0.9893542206855754,0.06551736261729302,omega2
1.031462925851704,-11.2,0.9898264875589464,0.07132653131256328,omega2
1.0721442885771548,-11.2,0.9902780096557146,0.07745363397252347,omega2
1.1128256513026056,-11.2,0.9907096803294834,0.08391601907626423,omega2
1.1535070140280563,-11.2,0.9911223560169241,0.09073108214863634,omega2
1.194188376753507,-11.2,0.9915168576272628,0.09791615189452962,omega2
-1.0432865731462915,-11.157114228456914,0.9977683329682834,0.09640141774103483,omega4
-1.0026052104208407,-11.157114228456914,0.9975984888928064,0.09222936943587245,omega4
-0.96192384769539,-11.157114228456914,0.9974157520806434,0.08819047002785674,omega4
-0.9212424849699392,-11.157114228456914,0.9972191491411734,0.08427973093184593,omega4
-0.8805611222444885,-11.157114228456914,0.9970076340283119,0.08049209361224785,omega4
-0.8398797595190377,-11.157114228456914,0.996780082749258,0.07682243484887019,omega4
-0.799198396793587,-11.157114228456914,0.9965352877088197,0.07326557072732498,omega4
-0.7585170340681362,-11.157114228456914,0.9962719516675838,0.06981625936525804,omega4
-0.7178356713426854,-11.157114228456914,0.9959886812914601,0.0664692023876865,omega4
-0.6771543086172329,-11.157114228456914,0.9956839802694866,0.06321904516618804,omega4
-0.6364729458917822,-11.157114228456914,0.9953562419762285,0.060060375837651,omega4
-0.5957915831663314,-11.157114228456914,0.9950037416547081,0.056987723118871125,omega4
-0.5551102204408807,-11.157114228456914,0.9946246280955655,0.05399555293358105,omega4
-0.5144288577154299,-11.157114228456914,0.9942169147881382,0.051078263868572726,omega4
-0.47374749498997915,-11.157114228456914,0.9937784705193967,0.04823018147558911,omega4
-0.4330661322645284,-11.157114228456914,0.9933070093972419,0.045445551435657094,omega4
-0.39238476953907764,-11.157114228456914,0.9928000802756299,0.04271853160268546,omega4
-0.3517034068136269,-11.157114228456914,0.992255055560403,0.04004318294352349,omega4
-0.31102204408817613,-11.157114228456914,0.9916691193766677,0.03741345939243035,omega4
-0.2703406813627254,-11.157114228456914,0.9910392550811645,0.03482319663915001,omega4
-0.22965931863727462,-11.157114228456914,0.9903622321064303,0.03226609987168194,omega4
-0.1889779559118221,-11.157114228456914,0.9896345921277848,0.029735730497525426,omega4
-0.14829659318637134,-11.157114228456914,0.9888526345494204,0.02722549187082013,omega4
-0.10761523046092059,-11.157114228456914,0.9880124013122926,0.024728614057594744,omega4
-0.06693386773546983,-11.157114228456914,0.9871096610342742,0.02223813767745042,omega4
-0.026252505010019078,-11.157114228456914,0.9861398925023311,0.01974689686766329,omega4
0.014428857715431676,-11.157114228456914,0.9850982675475286,0.017247501425106893,omega4
0.05511022044088243,-11.157114228456914,0.9839796333466908,0.014732318192819283,omega4
0.09579158316633318,-11.157114228456914,0.982778494209776,0.012193451771713715,omega4
0.13647294589178394,-11.157114228456914,0.9814889929297604,0.009622724654154147,omega4
0.1771543086172347,-11.157114228456914,0.9801048917922901,0.007011656895118401,omega4
