x1,x2,ambiguity_type
2.3739478957915843,-11.2,vote tie
2.414629258517035,-11.2,vote tie
2.455310621242486,-11.2,vote tie
2.4959919839679365,-11.2,vote tie
2.5366733466933873,-11.2,vote tie
2.577354709418838,-11.2,vote tie
2.6180360721442906,-11.2,vote tie
2.6587174348697413,-11.2,vote tie
2.699398797595192,-11.2,vote tie
2.740080160320643,-11.2,vote tie
2.7807615230460936,-11.2,vote tie
2.8214428857715443,-11.2,vote tie
2.862124248496995,-11.2,vote tie
2.902805611222446,-11.2,vote tie
2.9434869739478966,-11.2,vote tie
2.3332665330661335,-11.157114228456914,vote tie
2.3739478957915843,-11.157114228456914,vote tie
2.414629258517035,-11.157114228456914,vote tie
2.455310621242486,-11.157114228456914,vote tie
2.4959919839679365,-11.157114228456914,vote tie
2.5366733466933873,-11.157114228456914,vote tie
2.577354709418838,-11.157114228456914,vote tie
2.6180360721442906,-11.157114228456914,vote tie
2.6587174348697413,-11.157114228456914,vote tie
2.699398797595192,-11.157114228456914,vote tie
2.740080160320643,-11.157114228456914,vote tie
2.7807615230460936,-11.157114228456914,vote tie
2.8214428857715443,-11.157114228456914,vote tie
2.862124248496995,-11.157114228456914,vote tie
2.902805611222446,-11.157114228456914,vote tie
2.2925851703406828,-11.114228456913827,vote tie
2.3332665330661335,-11.114228456913827,vote tie
2.3739478957915843,-11.114228456913827,vote tie
2.414629258517035,-11.114228456913827,vote tie
2.455310621242486,-11.114228456913827,vote tie
2.4959919839679365,-11.114228456913827,vote tie
2.5366733466933873,-11.114228456913827,vote tie
2.577354709418838,-11.114228456913827,vote tie
2.6180360721442906,-11.114228456913827,vote tie
2.6587174348697413,-11.114228456913827,vote tie
2.699398797595192,-11.114228456913827,vote tie
2.740080160320643,-11.114228456913827,vote tie
2.7807615230460936,-11.114228456913827,vote tie
2.8214428857715443,-11.114228456913827,vote tie
2.862124248496995,-11.114228456913827,vote tie
2.251903807615232,-11.071342685370741,vote tie
2.2925851703406828,-11.071342685370741,vote tie
2.3332665330661335,-11.071342685370741,vote tie
2.3739478957915843,-11.071342685370741,vote tie
2.414629258517035,-11.071342685370741,vote tie
2.455310621242486,-11.071342685370741,vote tie
2.4959919839679365,-11.071342685370741,vote tie
2.5366733466933873,-11.071342685370741,vote tie
2.577354709418838,-11.071342685370741,vote tie
2.6180360721442906,-11.071342685370741,vote tie
2.6587174348697413,-11.071342685370741,vote tie
2.699398797595192,-11.071342685370741,vote tie
2.740080160320643,-11.071342685370741,vote tie
2.7807615230460936,-11.071342685370741,vote tie
2.8214428857715443,-11.071342685370741,vote tie
2.251903807615232,-11.028456913827654,vote tie
2.2925851703406828,-11.028456913827654,vote tie
2.3332665330661335,-11.028456913827654,vote tie
2.3739478957915843,-11.028456913827654,vote tie
2.414629258517035,-11.028456913827654,vote tie
2.455310621242486,-11.028456913827654,vote tie
2.4959919839679365,-11.028456913827654,vote tie
2.5366733466933873,-11.028456913827654,vote tie
2.577354709418838,-11.028456913827654,vote tie
2.6180360721442906,-11.028456913827654,vote tie
2.6587174348697413,-11.028456913827654,vote tie
2.699398797595192,-11.028456913827654,vote tie
2.740080160320643,-11.028456913827654,vote tie
2.7807615230460936,-11.028456913827654,vote tie
2.2112224448897813,-10.985571142284568,vote tie
2.251903807615232,-10.985571142284568,vote tie
2.2925851703406828,-10.985571142284568,vote tie
2.3332665330661335,-10.985571142284568,vote tie
2.3739478957915843,-10.985571142284568,vote tie
2.414629258517035,-10.985571142284568,vote tie
2.455310621242486,-10.985571142284568,vote tie
2.4959919839679365,-10.985571142284568,vote tie
2.5366733466933873,-10.985571142284568,vote tie
2.577354709418838,-10.985571142284568,vote tie
2.6180360721442906,-10.985571142284568,vote tie
2.6587174348697413,-10.985571142284568,vote tie
2.699398797595192,-10.985571142284568,vote tie
2.740080160320643,-10.985571142284568,vote tie
2.1705410821643305,-10.942685370741483,vote tie
2.2112224448897813,-10.942685370741483,vote tie
2.251903807615232,-10.942685370741483,vote tie
2.2925851703406828,-10.942685370741483,vote tie
2.3332665330661335,-10.942685370741483,vote tie
2.3739478957915843,-10.942685370741483,vote tie
2.414629258517035,-10.942685370741483,vote tie
2.455310621242486,-10.942685370741483,vote tie
2.4959919839679365,-10.942685370741483,vote tie
2.5366733466933873,-10.942685370741483,vote tie
