Algorithm,Step_Index,Coordinate_X,Coordinate_Y
D*-PSO (Proposed),24,1.787546,3.53598
D*-PSO (Proposed),25,1.918994,3.629162
D*-PSO (Proposed),26,2.05637,3.713371
D*-PSO (Proposed),27,2.1998,3.788133
D*-PSO (Proposed),28,2.348852,3.853999
D*-PSO (Proposed),29,2.502641,3.912367
D*-PSO (Proposed),30,2.660263,3.964662
D*-PSO (Proposed),31,2.820816,4.012309
D*-PSO (Proposed),32,2.983398,4.056734
D*-PSO (Proposed),33,3.147107,4.099359
D*-PSO (Proposed),34,3.31104,4.141611
D*-PSO (Proposed),35,3.474296,4.184914
D*-PSO (Proposed),36,3.635973,4.230693
D*-PSO (Proposed),37,3.795168,4.280373
D*-PSO (Proposed),38,3.950979,4.335378
D*-PSO (Proposed),39,4.102504,4.397133
D*-PSO (Proposed),40,4.24884,4.467064
D*-PSO (Proposed),41,4.389087,4.546593
D*-PSO (Proposed),42,4.522363,4.637104
D*-PSO (Proposed),43,4.64839,4.73881
D*-PSO (Proposed),44,4.767535,4.850677
D*-PSO (Proposed),45,4.880196,4.971602
D*-PSO (Proposed),46,4.986773,5.100487
D*-PSO (Proposed),47,5.087663,5.236233
D*-PSO (Proposed),48,5.183266,5.377739
D*-PSO (Proposed),49,5.273981,5.523906
D*-PSO (Proposed),50,5.360206,5.673634
D*-PSO (Proposed),51,5.44234,5.825824
D*-PSO (Proposed),52,5.520782,5.979375
D*-PSO (Proposed),53,5.595931,6.133189
D*-PSO (Proposed),54,5.668186,6.286166
D*-PSO (Proposed),55,5.737945,6.437205
D*-PSO (Proposed),56,5.805607,6.585208
D*-PSO (Proposed),57,5.871571,6.729075
D*-PSO (Proposed),58,5.936236,6.867705
D*-PSO (Proposed),59,6.0,7.0
ABC,0,0.0,0.0
ABC,1,0.005969,0.179924
ABC,2,0.002567,0.363251
ABC,3,0.0,0.549266
ABC,4,0.0,0.737252
ABC,5,0.0,0.926493
ABC,6,0.0,1.116274
ABC,7,0.0,1.305876
ABC,8,0.0,1.494586
ABC,9,0.0,1.681687
ABC,10,0.0,1.866461
ABC,11,0.0,2.048195
ABC,12,0.0,2.22617
ABC,13,0.0,2.399672
ABC,14,0.0,2.567984
ABC,15,0.002722,2.730389
ABC,16,0.074546,2.886267
ABC,17,0.163202,3.035322
ABC,18,0.267428,3.177335
ABC,19,0.385962,3.312083
ABC,20,0.517543,3.439346
ABC,21,0.66091,3.558903
ABC,22,0.814802,3.670532
ABC,23,0.977956,3.774012
ABC,24,1.149112,3.869123
ABC,25,1.327008,3.955642
ABC,26,1.510383,4.03335
ABC,27,1.697975,4.102024
ABC,28,1.888524,4.161444
ABC,29,2.080783,4.211419
ABC,30,2.27388,4.252457
ABC,31,2.467303,4.285742
ABC,32,2.660556,4.312489
ABC,33,2.853141,4.333913
ABC,34,3.044564,4.351227
ABC,35,3.234326,4.365645
ABC,36,3.421933,4.378383
ABC,37,3.606886,4.390653
ABC,38,3.788691,4.403671
ABC,39,3.966851,4.41865
ABC,40,4.140868,4.436805
ABC,41,4.310247,4.459349
ABC,42,4.474492,4.487498
ABC,43,4.633105,4.522464
ABC,44,4.785591,4.565464
ABC,45,4.931453,4.617709
ABC,46,5.070194,4.680416
ABC,47,5.201319,4.754798
ABC,48,5.32433,4.842069
ABC,49,5.438732,4.943443
ABC,50,5.544027,5.060135
ABC,51,5.63972,5.193359
ABC,52,5.725314,5.344329
ABC,53,5.800312,5.514259
ABC,54,5.864219,5.704363
ABC,55,5.916537,5.915857
ABC,56,5.956771,6.149953
ABC,57,5.984424,6.407866
ABC,58,5.998999,6.69081
ABC,59,6.0,7.0
PSO-ABC (Proposed),0,0.0,0.0
PSO-ABC (Proposed),1,0.074247,0.114242
PSO-ABC (Proposed),2,0.137167,0.24161
PSO-ABC (Proposed),3,0.19022,0.38065
PSO-ABC (Proposed),4,0.234869,0.52991
PSO-ABC (Proposed),5,0.272574,0.687937
PSO-ABC (Proposed),6,0.304797,0.853278
PSO-ABC (Proposed),7,0.332998,1.024481
PSO-ABC (Proposed),8,0.358638,1.200093
PSO-ABC (Proposed),9,0.38318,1.37866
PSO-ABC (Proposed),10,0.408083,1.558731
PSO-ABC (Proposed),11,0.43481,1.738852
PSO-ABC (Proposed),12,0.464821,1.917571
PSO-ABC (Proposed),13,0.499577,2.093435
PSO-ABC (Proposed),14,0.540539,2.264991
PSO-ABC (Proposed),15,0.58917,2.430786
PSO-ABC (Proposed),16,0.646929,2.589368
PSO-ABC (Proposed),17,0.715278,2.739284
PSO-ABC (Proposed),18,0.795667,2.879092
PSO-ABC (Proposed),19,0.888691,3.008107
PSO-ABC (Proposed),20,0.993524,3.126913
PSO-ABC (Proposed),21,1.109204,3.236214
PSO-ABC (Proposed),22,1.234766,3.336713
PSO-ABC (Proposed),23,1.36925,3.429114
PSO-ABC (Proposed),24,1.511692,3.514121
PSO-ABC (Proposed),25,1.66113,3.592437
PSO-ABC (Proposed),26,1.816601,3.664765
PSO-ABC (Proposed),27,1.977142,3.73181
PSO-ABC (Proposed),28,2.141792,3.794274
PSO-ABC (Proposed),29,2.309587,3.852861
PSO-ABC (Proposed),30,2.479565,3.908276
PSO-ABC (Proposed),31,2.650763,3.961221
PSO-ABC (Proposed),32,2.822219,4.0124
PSO-ABC (Proposed),33,2.99297,4.062516
PSO-ABC (Proposed),34,3.162054,4.112274
PSO-ABC (Proposed),35,3.328508,4.162377
PSO-ABC (Proposed),36,3.491585,4.213495
PSO-ABC (Proposed),37,3.651076,4.266219
PSO-ABC (Proposed),38,3.806857,4.321125
PSO-ABC (Proposed),39,3.958803,4.37879
PSO-ABC (Proposed),40,4.106788,4.439791
PSO-ABC (Proposed),41,4.250688,4.504706
PSO-ABC (Proposed),42,4.390378,4.57411
PSO-ABC (Proposed),43,4.525733,4.648582
PSO-ABC (Proposed),44,4.656629,4.728697
PSO-ABC (Proposed),45,4.78294,4.815033
PSO-ABC (Proposed),46,4.904542,4.908166
PSO-ABC (Proposed),47,5.021309,5.008675
PSO-ABC (Proposed),48,5.133118,5.117135
PSO-ABC (Proposed),49,5.239842,5.234123
PSO-ABC (Proposed),50,5.341358,5.360217
PSO-ABC (Proposed),51,5.43754,5.495993
PSO-ABC (Proposed),52,5.528263,5.642029
PSO-ABC (Proposed),53,5.613403,5.798901
PSO-ABC (Proposed),54,5.692835,5.967186
PSO-ABC (Proposed),55,5.766433,6.147461
PSO-ABC (Proposed),56,5.834074,6.340303
PSO-ABC (Proposed),57,5.895632,6.546289
PSO-ABC (Proposed),58,5.950982,6.765995
PSO-ABC (Proposed),59,6.0,7.0
SMO,0,0.0,0.0
SMO,1,0.078461,0.138013
SMO,2,0.150652,0.28262
SMO,3,0.217359,0.433009
SMO,4,0.27937,0.588366
SMO,5,0.337471,0.74788
SMO,6,0.39245,0.910736
SMO,7,0.445093,1.076121
SMO,8,0.496188,1.243224
SMO,9,0.546522,1.41123
SMO,10,0.596881,1.579328
SMO,11,0.648054,1.746703
SMO,12,0.700825,1.912543
SMO,13,0.755984,2.076036
SMO,14,0.814317,2.236368
SMO,15,0.87661,2.392726
SMO,16,0.943651,2.544297
SMO,17,1.016227,2.690268
SMO,18,1.095126,2.829827
SMO,19,1.181133,2.962161
SMO,20,1.275036,3.086456
SMO,21,1.377622,3.201899
SMO,22,1.489343,3.308037
SMO,23,1.609655,3.405477
SMO,24,1.737828,3.495028
SMO,25,1.873133,3.577497
SMO,26,2.01484,3.653691
SMO,27,2.162219,3.724417
SMO,28,2.314542,3.790484
SMO,29,2.471079,3.852698
SMO,30,2.6311,3.911866
SMO,31,2.793876,3.968796
