Algorithm,Time_Mean_Sec,Time_Std_Sec,Peak_Memory_KB,Path_Length_Mean,Path_Length_Std,Smoothness_Mean,Min_Clearance_Mean,Collisions_Mean,Time_Complexity,Space_Complexity
D*,0.007208358200023213,0.001732285298573056,23.5,9.219544410705566,0.0,0.0,0.7322722673416138,0.0,O((|V| + |E|) log |V|),O(|V|)
PSO,1.8232478827999785,0.7032722435361952,473.0,10.44975299835205,1.164292490103004,3.5865339756011965,0.292502224445343,0.0,O(I * N * D),O(N * D)
LDW-PSO,1.1543413087999852,0.024370207286447232,473.0,9.826017761230469,0.09535520353428736,0.564572948217392,0.29891936779022216,0.0,O(I * N * D),O(N * D)
D*-PSO (Proposed),1.3901335775999086,0.2861313213737211,473.0,9.826017761230469,0.09535520353428736,0.564572948217392,0.29891936779022216,0.0,O((|V| + |E|) log |V| + I * N * D),O(|V| + N * D)
ABC,13.070181832000026,0.04231747744944018,464.0,10.50469741821289,0.38049626822063226,1.4149240732192994,0.34564425945281985,0.0,O(I * N * D),O(N * D)
PSO-ABC (Proposed),8.31264591879999,1.0060978996806516,465.5,10.063731956481934,0.06549478375752185,0.986131489276886,0.3101153254508972,0.0,O(I * N * D),O(N * D)
SMO,12.857284744399886,0.10231226220065158,464.0,9.808979415893555,0.09364595581338254,0.593846321105957,0.29910520315170286,0.0,O(I * N * D),O(N * D)
ACO,27.381954961999963,0.37429015633562845,51.5,9.219544410705566,0.0,0.0,0.7322722673416138,0.0,O(I * M * |V|),O(|V|^2)
