target,mean,std,min,max
temperature_max,26.35719696969697,10.921132116859821,0.2,41.6
temperature_min,11.861363636363638,9.311713443770744,-10.2,26.1
temperature_mean,19.546448863636368,10.463493604322823,-4.804166666666666,33.7125
apparent_temperature_max,23.607196969696975,11.431797480451586,-3.8,39.4
apparent_temperature_min,8.509848484848485,9.651610790509558,-14.5,25.4
apparent_temperature_mean,16.220170454545453,10.561022582613857,-9.083333333333334,31.395833333333332
dew_point_mean,-2.8713068181818184,4.6268828920469955,-12.5375,16.075
relative_humidity_mean,31.10495580808081,22.597836552295416,7.25,89.79166666666667
precipitation_sum,0.2727272727272727,1.3504310484403759,0.0,12.9
rain_sum,0.17386363636363636,1.0153754462875346,0.0,12.9
snowfall_sum,0.06920454545454545,0.5222106161155889,0.0,7.0
precipitation_hours,0.5871212121212122,2.290662324829316,0.0,19.0
sunshine_duration_hours,10.003787878787879,1.6762671412928185,3.0,13.0
wind_speed_max,16.136363636363637,6.195758057355742,7.2,39.5
wind_gust_max,31.429166666666664,11.9582520653651,13.7,71.6
wind_direction_mean,170.09808651907207,101.88812803342387,2.6268033844935115,358.58726801232007
shortwave_radiation_sum,20.859054545454544,7.0219530477908,3.4632,29.7036
cloud_cover_mean,21.154829545454547,27.05586299324489,0.0,100.0
pressure_msl_mean,1013.1512152777777,8.21143005052766,994.9916666666667,1035.2583333333334
et0_fao_evapotranspiration_sum,5.354659090909091,2.7018924288408126,0.48000000000000004,11.03
vapour_pressure_deficit_max,3.529015151515151,2.0227082924315747,0.15,7.64
soil_moisture_0_to_7cm_mean,0.04313857323232323,0.04146610092961133,-0.0002916666666666667,0.16870833333333335
