family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,16,35
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,17,26
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,18,31
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,19,130
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,20,72
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,21,28
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,22,19
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,23,27
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,24,33
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,25,59
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,26,33
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,27,24
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,28,45
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,29,28
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,30,19
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,31,79
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,32,36
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,33,44
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,34,64
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,35,27
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,36,44
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,37,35
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,38,62
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,39,18
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,40,77
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,41,29
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,42,30
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,43,24
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,44,50
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,45,40
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,46,25
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,47,27
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,48,29
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,49,115
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,50,70
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,51,41
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,52,36
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,53,76
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,54,45
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,55,50
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,56,31
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,57,40
