index,family,parameter_name,parameter_value,alpha,episode,mean,median,std_steps
79,n_step_sarsa,n,1.000,0.500,80,43.333,38.000,11.930
80,n_step_sarsa,n,1.000,0.500,81,24.000,20.000,6.928
81,n_step_sarsa,n,1.000,0.500,82,27.333,28.000,9.018
82,n_step_sarsa,n,1.000,0.500,83,29.667,29.000,8.021
83,n_step_sarsa,n,1.000,0.500,84,27.000,28.000,6.557
84,n_step_sarsa,n,1.000,0.500,85,27.000,29.000,6.245
85,n_step_sarsa,n,1.000,0.500,86,23.667,22.000,3.786
86,n_step_sarsa,n,1.000,0.500,87,31.667,26.000,11.590
87,n_step_sarsa,n,1.000,0.500,88,32.667,34.000,9.074
88,n_step_sarsa,n,1.000,0.500,89,28.667,29.000,0.577
89,n_step_sarsa,n,1.000,0.500,90,27.333,28.000,3.055
90,n_step_sarsa,n,1.000,0.500,91,23.000,18.000,9.539
91,n_step_sarsa,n,1.000,0.500,92,21.333,20.000,4.163
92,n_step_sarsa,n,1.000,0.500,93,30.000,31.000,2.646
93,n_step_sarsa,n,1.000,0.500,94,26.667,30.000,7.572
94,n_step_sarsa,n,1.000,0.500,95,26.667,24.000,6.429
95,n_step_sarsa,n,1.000,0.500,96,24.667,25.000,5.508
96,n_step_sarsa,n,1.000,0.500,97,36.000,39.000,7.937
97,n_step_sarsa,n,1.000,0.500,98,30.000,29.000,11.533
98,n_step_sarsa,n,1.000,0.500,99,25.667,21.000,8.963
99,n_step_sarsa,n,1.000,0.500,100,21.333,19.000,4.933
100,n_step_sarsa,n,5.000,0.500,1,2040.000,2007.000,435.439
101,n_step_sarsa,n,5.000,0.500,2,236.667,273.000,67.308
102,n_step_sarsa,n,5.000,0.500,3,436.333,503.000,117.206
103,n_step_sarsa,n,5.000,0.500,4,946.667,103.000,1494.303
104,n_step_sarsa,n,5.000,0.500,5,78.333,61.000,67.686
105,n_step_sarsa,n,5.000,0.500,6,96.667,60.000,102.065
106,n_step_sarsa,n,5.000,0.500,7,118.667,75.000,127.249
107,n_step_sarsa,n,5.000,0.500,8,39.667,40.000,16.503
108,n_step_sarsa,n,5.000,0.500,9,23.333,25.000,3.786
109,n_step_sarsa,n,5.000,0.500,10,27.000,18.000,16.462
110,n_step_sarsa,n,5.000,0.500,11,47.667,52.000,28.746
111,n_step_sarsa,n,5.000,0.500,12,48.333,22.000,49.116
112,n_step_sarsa,n,5.000,0.500,13,20.000,20.000,2.000
113,n_step_sarsa,n,5.000,0.500,14,19.667,19.000,2.082
114,n_step_sarsa,n,5.000,0.500,15,23.667,18.000,10.693
115,n_step_sarsa,n,5.000,0.500,16,23.333,22.000,6.110
116,n_step_sarsa,n,5.000,0.500,17,25.667,23.000,6.429
117,n_step_sarsa,n,5.000,0.500,18,50.333,23.000,51.733
118,n_step_sarsa,n,5.000,0.500,19,24.333,20.000,8.386
119,n_step_sarsa,n,5.000,0.500,20,24.000,20.000,9.644
120,n_step_sarsa,n,5.000,0.500,21,29.667,32.000,9.713
121,n_step_sarsa,n,5.000,0.500,22,23.667,26.000,4.933
122,n_step_sarsa,n,5.000,0.500,23,51.000,19.000,56.294
123,n_step_sarsa,n,5.000,0.500,24,34.000,22.000,23.431
124,n_step_sarsa,n,5.000,0.500,25,28.333,24.000,11.150
125,n_step_sarsa,n,5.000,0.500,26,21.333,20.000,5.132
126,n_step_sarsa,n,5.000,0.500,27,28.667,21.000,15.948
127,n_step_sarsa,n,5.000,0.500,28,87.667,61.000,82.306
128,n_step_sarsa,n,5.000,0.500,29,1062.333,68.000,1760.478
129,n_step_sarsa,n,5.000,0.500,30,114.000,89.000,102.806
