family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,96,19
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,97,39
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,98,19
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,99,36
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,100,27
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,1,1080
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,2,791
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,3,177
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,4,120
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,5,414
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,6,45
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,7,68
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,8,170
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,9,54
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,10,141
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,11,159
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,12,72
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,13,291
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,14,35
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,15,161
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,16,151
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,17,49
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,18,246
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,19,100
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,20,60
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,21,54
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,22,48
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,23,64
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,24,53
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,25,111
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,26,73
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,27,64
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,28,39
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,29,60
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,30,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,31,63
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,32,57
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,33,44
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,34,24
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,35,34
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,36,111
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,37,35
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,38,25
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,39,25
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,40,107
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,41,38
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,42,45
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,43,59
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,44,56
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,45,45
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,46,38
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,47,19
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,48,42
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,49,34
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,50,36
