family,parameter_name,parameter_value,alpha,mean_final_window_steps,median_final_window_steps,std_final_window_steps,best_episode_steps,episodes,seeds
n_step_sarsa,n,1.000,0.500,73.413,38.000,137.954,17,100,3
n_step_sarsa,n,5.000,0.500,83.737,26.000,313.189,17,100,3
n_step_sarsa,n,10.000,0.500,148.040,26.000,775.477,18,100,3
sarsa_lambda,lambda,0.000,0.500,73.413,38.000,137.954,17,100,3
sarsa_lambda,lambda,0.100,0.500,70.260,36.000,147.384,17,100,3
sarsa_lambda,lambda,0.500,0.500,52.900,29.000,127.911,17,100,3
sarsa_lambda,lambda,1.000,0.500,151.173,22.000,1032.402,18,100,3
