iteration,best_cost
1,13.831231605434125
2,10.170462678215724
3,9.44795101870177
4,7.820548786947173
5,4.767821260328734
6,4.6428052653450465
7,3.4802744203579974
8,2.6821404535527376
9,2.655208785731791
10,2.6130219352403157
11,1.765630194501139
12,0.967811781006191
13,0.967811781006191
14,1.4698185965702106
15,1.3126947336331019
16,0.663945990186424
17,0.3561917692344925
18,0.3561917692344925
19,0.3561917692344925
20,0.5596416591971374
21,0.6544393233466974
22,0.6544393233466974
23,0.6544393233466974
24,0.6544393233466974
25,0.7260509263654744
26,0.7260509263654744
27,0.7209601659620124
28,0.7209601659620124
29,0.6765793786344614
30,0.5825862765327341
