accuracy,loss,val_accuracy,val_loss,learning_rate
0.2804332673549652,2.497620105743408,0.4252559542655945,1.950047492980957,0.0020000000949949026
0.4888942241668701,1.714529275894165,0.5460455417633057,1.4961369037628174,0.0020000000949949026
0.5458000898361206,1.4934090375900269,0.5716949105262756,1.3941701650619507,0.0020000000949949026
0.5664040446281433,1.4166772365570068,0.585633397102356,1.3443834781646729,0.0020000000949949026
0.5787045955657959,1.3716977834701538,0.5944017171859741,1.3142286539077759,0.0020000000949949026
0.5877053141593933,1.3397347927093506,0.601124107837677,1.2914838790893555,0.0020000000949949026
0.5943989753723145,1.3146429061889648,0.6051054000854492,1.2756575345993042,0.0020000000949949026
0.6007238030433655,1.2931534051895142,0.610224187374115,1.2607178688049316,0.0020000000949949026
0.6055719256401062,1.2759562730789185,0.6136367321014404,1.2504628896713257,0.0020000000949949026
0.6103019714355469,1.2603758573532104,0.6157181859016418,1.240887999534607,0.0020000000949949026
