epoch,loss,accuracy
1,0.7993025424460465,0.2857142857142857
100,0.34862828762305953,0.8285714285714286
200,0.30096872803752384,0.8714285714285714
300,0.28482473421302057,0.8571428571428571
400,0.27715331131915183,0.8571428571428571
500,0.27223933664843997,0.8571428571428571
600,0.26815056426150874,0.8571428571428571
700,0.264144195468514,0.8571428571428571
800,0.2599126274194597,0.8571428571428571
900,0.2553297518014895,0.8714285714285714
1000,0.25035719775722093,0.8857142857142857
1100,0.24500590553462182,0.8857142857142857
1200,0.23931731458067754,0.8857142857142857
1300,0.23335150265205204,0.9
1400,0.22717815926288779,0.9
1500,0.22086944019667235,0.9142857142857143
1600,0.21449465950993593,0.9142857142857143
1700,0.20811679484206203,0.9142857142857143
1800,0.20179058122758373,0.9142857142857143
1900,0.19556182743004485,0.9142857142857143
2000,0.189467563682214,0.9142857142857143
2100,0.18353668509139595,0.9142857142857143
2200,0.17779084157162675,0.9142857142857143
2300,0.17224540954985199,0.9142857142857143
2400,0.16691044771238556,0.9285714285714286
2500,0.16179158566649798,0.9571428571428572
2600,0.1568908234619449,0.9571428571428572
2700,0.15220723623046473,0.9571428571428572
2800,0.14773758635496748,0.9571428571428572
2900,0.14347684912353342,0.9714285714285714
3000,0.13941865909609907,0.9714285714285714
3100,0.1355556847346985,0.9714285714285714
3200,0.13187993883838572,0.9714285714285714
3300,0.12838303219541836,0.9714285714285714
3400,0.1250563776502587,0.9714285714285714
3500,0.1218913514629518,0.9714285714285714
3600,0.118879418403345,0.9714285714285714
3700,0.11601222648554965,0.9714285714285714
3800,0.11328167663999222,0.9714285714285714
3900,0.11067997197914763,0.9714285714285714
4000,0.10819965067419586,0.9714285714285714
4100,0.10583360585155084,0.9714285714285714
4200,0.103575095359556,0.9714285714285714
4300,0.1014177437572078,0.9714285714285714
4400,0.09935553844230158,0.9714285714285714
4500,0.09738282146478197,0.9714285714285714
4600,0.09549427825811559,0.9714285714285714
4700,0.09368492426128114,0.9714285714285714
4800,0.09195009018994267,0.9714285714285714
4900,0.09028540654095892,0.9714285714285714
5000,0.0886867877734459,0.9714285714285714
