Task,Model,Training samples,Test samples,Training accuracy (%),Test accuracy (%),Iterations
Q1,Single-layer multiclass perceptron,70,30,100.0,100.0,2
Q2,Two-layer tanh/sigmoid network with manual backpropagation,70,30,97.14285714285714,100.0,5000
