,precision,recall,f1-score,support
flower_photos,1.0,1.0,1.0,2936.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,2936.0
weighted avg,1.0,1.0,1.0,2936.0
