epoch,mean_squared_error
1,0.2007147096816951
2,0.19502883222037337
3,0.17765180823288035
4,0.13959431944601944
5,0.09972860781336607
6,0.0773028201011513
7,0.06633507007400738
8,0.06050325006747405
9,0.05706606309423557
10,0.05486482040303265
11,0.05336182615259409
12,0.052282817044661985
13,0.05147644933319261
14,0.05085372632492788
15,0.050359534936256056
16,0.049958252647286996
17,0.049626009639976036
18,0.04934630995077621
19,0.049107443748553935
20,0.04890090038166296
21,0.048720363459785164
22,0.04856105639782578
23,0.04841930549108857
24,0.048292241681866487
25,0.04817759289005435
26,0.04807353676453883
27,0.04797859453617589
28,0.047891553330235224
29,0.047811408507686594
30,0.047737320315212564
31,0.04766858090075381
32,0.04760458893613711
33,0.047544829890643396
34,0.04748886055057582
35,0.04743629676366045
36,0.04738680365764587
37,0.04734008777538643
38,0.0472958907077474
39,0.04725398390689596
40,0.04721416443691427
41,0.04717625147378291
42,0.04714008340794927
43,0.04710551543368553
44,0.047072417532959966
45,0.04704067277955889
46,0.047010175903149945
47,0.046980832063950984
48,0.04695255579746501
49,0.04692527009595462
50,0.04689890559939479
51,0.046873399873857136
52,0.046848696759827564
53,0.04682474577695534
54,0.04680150157520467
55,0.04677892342534525
56,0.04675697474415779
57,0.046735622651640066
58,0.04671483755888544
59,0.046694592786207724
60,0.04667486421155471
61,0.04665562994936984
62,0.046636870059912384
63,0.04661856628872361
64,0.04660070183550933
65,0.04658326115127239
66,0.04656622976212694
67,0.04654959411789061
68,0.04653334146331163
69,0.04651745972964174
70,0.04650193744421581
71,0.04648676365573073
72,0.04647192787301464
73,0.04645742001522665
74,0.04644323037160922
75,0.04642934956911539
76,0.04641576854644303
77,0.04640247853320802
78,0.04638947103318517
79,0.04637673781072009
80,0.046364270879577556
81,0.04635206249362938
82,0.04634010513890717
83,0.04632839152664647
84,0.04631691458703475
85,0.04630566746344513
86,0.04629464350699432
87,0.04628383627130788
88,0.046273239507411974
89,0.04626284715869703
90,0.04625265335591974
91,0.0462426524122255
92,0.046232838818182985
93,0.04622320723683228
94,0.04621375249875066
95,0.04620446959714637
96,0.046195353682988737
97,0.046186400060187156
98,0.046177604180829286
99,0.046168961640489246
100,0.046160468173614556
101,0.046152119649001316
102,0.04614391206536434
103,0.04613584154700859
104,0.04612790433960696
105,0.046120096806088015
106,0.04611241542263751
107,0.04610485677481442
108,0.046097417553784055
109,0.04609009455266782
110,0.046082884663009666
111,0.04607578487135949
112,0.04606879225597084
113,0.04606190398361271
114,0.04605511730649317
115,0.046048429559292725
116,0.04604183815630502
117,0.04603534058868311
118,0.04602893442178778
119,0.04602261729263592
120,0.04601638690744625
121,0.046010241039279476
122,0.046004177525769865
123,0.045998194266946284
124,0.04599228922313891
125,0.04598646041297011
126,0.045980705911425813
127,0.04597502384800528
128,0.045969412404946786
129,0.0459638698155265
130,0.04595839436242843
131,0.04595298437618258
132,0.04594763823366994
133,0.04594235435669114
134,0.04593713121059744
135,0.04593196730298131
136,0.04592686118242551
137,0.04592181143730774
138,0.045916816694659905
139,0.04591187561907978
140,0.04590698691169338
141,0.0459021493091666
142,0.04589736158276434
143,0.0458926225374559
144,0.045887931011064594
145,0.04588328587346098
146,0.04587868602579747
147,0.0458741303997837
148,0.04586961795700104
149,0.045865147688254906
150,0.04586071861296386
151,0.04585632977858427
152,0.045851980260069175
153,0.04584766915936049
154,0.04584339560491317
155,0.04583915875125033
156,0.04583495777854811
157,0.04583079189224938
158,0.04582666032270488
159,0.045822562324840964
160,0.04581849717785239
161,0.04581446418491967
162,0.04581046267294906
163,0.04580649199233449
164,0.04580255151674031
165,0.04579864064290277
166,0.045794758790450134
167,0.04579090540173901
168,0.04578707994170635
169,0.04578328189773476
170,0.04577951077953069
171,0.045775766119012955
172,0.04577204747021065
173,0.04576835440916835
174,0.045764686533856944
175,0.04576104346408826
176,0.04575742484143178
177,0.0457538303291309
178,0.04575025961201709
179,0.04574671239641988
180,0.04574318841006983
181,0.04573968740199276
182,0.04573620914239284
183,0.04573275342252147
184,0.04572932005453012
185,0.04572590887130409
186,0.04572251972627484
187,0.04571915249320833
188,0.045715807065965834
189,0.045712483358236
190,0.04570918130323403
191,0.04570590085336626
192,0.04570264197985716
193,0.045699404672336276
194,0.04569618893838267
195,0.045692994803024654
196,0.04568982230819252
197,0.0456866715121224
198,0.045683542488709435
199,0.045680435326808905
200,0.04567735012948388
201,0.045674287013198776
202,0.04567124610695819
203,0.04566822755139072
204,0.045665231497778486
205,0.04566225810703299
206,0.045659307548618105
207,0.04565637999942294
208,0.045653475642586185
209,0.045650594666275295
210,0.045647737262423736
211,0.04564490362543078
212,0.04564209395082821
213,0.045639308433919626
214,0.04563654726839784
215,0.04563381064494734
216,0.04563109874983815
217,0.0456284117635192
218,0.04562574985921864
219,0.04562311320155958
220,0.045620501945199676
221,0.04561791623350343
222,0.04561535619725626
223,0.04561282195342856
224,0.04561031360399961
225,0.045607831234849336
226,0.045605374914726354
227,0.04560294469430054
228,0.04560054060530733
229,0.04559816265979086
230,0.045595810849451766
231,0.045593485145105334
232,0.04559118549625389
233,0.0455889118307776
234,0.04558666405474522
235,0.04558444205234683
236,0.04558224568594822
237,0.045580074796266315
238,0.04557792920266334
239,0.045575808703556604
240,0.04557371307693951
241,0.04557164208100899
242,0.045569595454892184
243,0.04556757291946614
244,0.04556557417826215
245,0.0455635989184465
246,0.04556164681186803
247,0.04555971751616366
248,0.04555781067591154
249,0.045555925923822134
250,0.0455540628819572
251,0.04555222116296663
252,0.04555040037133366
253,0.04554860010461876
254,0.04554681995469363
255,0.04554505950895647
256,0.04554331835152086
257,0.0455415960643709
258,0.0455398922284763
259,0.04553820642486136
260,0.04553653823562304
261,0.045534887244893775
262,0.04553325303974559
263,0.045531635211032935
264,0.04553003335417205
265,0.0455284470698558
266,0.04552687596470349
267,0.04552531965184535
268,0.04552377775144279
269,0.04552224989114522
270,0.045520735706485196
271,0.04551923484121392
272,0.04551774694757954
273,0.04551627168655052
274,0.045514808727987736
275,0.04551335775076751
276,0.04551191844285938
277,0.045510490501361744
278,0.045509073632498655
279,0.04550766755158111
280,0.04550627198293621
281,0.045504886659807425
282,0.045503511324229064
283,0.04550214572687798
284,0.04550078962690563
285,0.0454994427917528
286,0.045498104996950346
287,0.04549677602590754
288,0.04549545566969106
289,0.04549414372679622
290,0.0454928400029128
291,0.04549154431068686
292,0.045490256469480427
293,0.04548897630513048
294,0.045487703649708416
295,0.045486438341281195
296,0.04548518022367535
297,0.04548392914624442
298,0.045482684963640864
299,0.04548144753559302
300,0.0454802167266875
301,0.04547899240615768
302,0.04547777444767857
303,0.04547656272916822
304,0.04547535713259608
305,0.04547415754379827
306,0.045472963852299986
307,0.04547177595114486
308,0.04547059373673159
309,0.0454694171086574
310,0.045468245969568624
311,0.045467080225017935
312,0.045465919783328375
313,0.045464764555463874
314,0.04546361445490604
315,0.04546246939753729
316,0.045461329301529615
317,0.04546019408723947
318,0.04545906367710784
319,0.045457937995565925
320,0.04545681696894565
321,0.045455700525395284
322,0.04545458859479956
323,0.0454534811087044
324,0.045452378000245715
325,0.04545127920408244
326,0.045450184656333235
327,0.04544909429451698
328,0.04544800805749668
329,0.04544692588542661
330,0.04544584771970271
331,0.04544477350291578
332,0.045443703178807554
333,0.045442636692229414
334,0.045441573989103555
335,0.04544051501638652
336,0.04543945972203497
337,0.04543840805497349
338,0.045437359965064504
339,0.045436315403079845
340,0.04543527432067428
341,0.04543423667036059
342,0.04543320240548612
343,0.04543217148021098
344,0.045431143849487425
345,0.04543011946904067
346,0.04542909829535081
347,0.04542808028563591
348,0.04542706539783622
349,0.04542605359059925
350,0.04542504482326598
351,0.04542403905585767
352,0.0454230362490638
353,0.045422036364230506
354,0.04542103936334994
355,0.04542004520905007
356,0.04541905386458536
357,0.04541806529382784
358,0.045417079461258766
359,0.045416096331960774
360,0.045415115871610484
361,0.045414138046471604
362,0.0454131628233883
363,0.045412190169779064
364,0.04541122005363074
365,0.04541025244349308
366,0.04540928730847334
367,0.045408324618231306
368,0.04540736434297445
369,0.04540640645345337
370,0.04540545092095728
371,0.045404497717309825
372,0.045403546814864894
373,0.045402598186502705
374,0.045401651805625845
375,0.04540070764615552
376,0.0453997656825278
377,0.045398825889690034
378,0.04539788824309713
379,0.04539695271870812
380,0.04539601929298254
381,0.04539508794287693
382,0.0453941586458413
383,0.045393231379815616
384,0.045392306123226235
385,0.04539138285498241
386,0.04539046155447261
387,0.04538954220156102
388,0.04538862477658375
389,0.0453877092603452
390,0.04538679563411431
391,0.045385883879620705
392,0.04538497397905087
393,0.045384065915044146
